month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,CRA,SM1079,M,5,0,10.34,9.7,5.54,23.64,80,27.73,U,NA,NA,0,B,0,0,0,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1743,U,0,0,8.43,6.25,4.41,18,61,13.63,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1744,U,0,0,7.92,6.62,4.48,17.26,62,13.4,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1745,M,5,0,8.55,7.22,5.1,19.44,61,13.03,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1746,U,0,0,8.82,7.11,4.83,18.12,57,13.39,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,CRA,SM2435,M,4,0,10.41,10.48,6.55,26.32,81,29.77,R,NA,NA,0,B,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1747,U,0,0,7.44,5.53,3.88,16.65,60,12.65,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1748,M,5,0,9.3,7.5,5,17,62,13.84,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1749,M,3,0,9.5,7.4,5.3,16.6,60,14.76,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,PAR,SMA1750,U,0,0,8.7,6.9,5.3,17.4,60,11.85,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
